label,x,y,font_size
(Johor Bahru),356,41,
??L,20,972.501,
Admiralty,586,80,
Airport,1312,699,
Airport T5,1383.701,661,
Alignment of future lines are speculative and subject to changes.,7.4,38,8
Aljunied,945,638,
Ang,758,317,
Avenue,503,419,
Aviation,1344,650,
Ayer,747,801,
Bahar,160,478,
Bahru,895,594,
Bakau,1157,379,
Bangkit,569,251,
Bartley,968,514,
Basah,830,739,
Bay,789,907,
Bayfront,885,888,
Bayshore,1178,782,
Beauty,436,358,
Bedok,1171,652,
Bencoolen,780,686,
Bendeemer,825,632,
Besar,874,671,
Bishan,793,390,
Blangah,488,846,
Boon,122,496,
Boon Keng,838,564,
Botanic,491,470,
Boulevard,599,558,
Braddell,734,432,
Bras,830,727,
Brickland,20,703.5,
Bright,622,292,
Brown,566,426,
Buangkok,962,365,
Bugis,908,730,
Bukit,292,350,
Bukit Batok,292,411,
Bukit Chagar,360,29,
Bunga,486,482,
Buona Vista,489,600,
CCL6,20,758.5,
CPE,20,922.5,
CRL1,20,913.5,
CRL1e,20,931.5,
CRL2,20,931.5,
CRL3,20,931.5,
Caldecott,595,399,
Canberra,742,108,
Canning,662,720,
Cantonment,636,928,
Cashew,430.5,269,
Changi,1310,687,
Cheng,1071,273,
Chinatown,702,758,
Chinese,224,527,
Choa,247,213,
Choa Chu,163,274,
Chu Kang,727,258,
Chuan,879,425,
City,840,799,
Clarke,730,729,
Clementi,414,526,
Coast,393,603,
Commonwealth,525,636,
Compassvale,1096,315,
Coral Edge,1160,293,
Corporation,84,418,
Correct as at 15 Aug 2024.,7.4,29,8
Correct as at 15 June 2025.,7.4,29,8
Cove,1164,250,
Crescent,19,578,
DE1,1292,731,
DTL2e,20,790.5,
DTL3e,20,781.5,
Dakota,1011,674,
Damai,1198,219,
Defu,1055,478,
Dhoby,708,686,
District,328.25,645.43,
Dover,418,581,
Downtown,809,865,
East,1292,621,
Edward,713,946,
Elias,1264,424,
Enterprise,163,540,
Esplanade,872,779,
Eunos,1050,652,
Expo,1252,687,
Fajar,569,229,
Farmway,1065,246,
Farrer,810,591,
Farrer Road,522,520,
Fernvale,961,246,
Fort,685,708,
Founders',956,923,
Founders' Memorial,20,822.5,
Garden,226,539,
Gardens,876,968,
Gateway,22,404,
Gek Poh,22,469,
Geylang,882,582,
Ghaut,709,698,
Gombak,292,362,
Great,622,647,
Guan,253,475,
Gul Circle,15,546,
Hall,840,811,
HarbourFront,495,875,
Havelock,603,697,
Haw Par,490,713,
Highway,934,760,
Hill,637,304,
Hillview,433,301,
Holland,504,556,
Hong,344,249,
Hong Kah,94,384,
Hougang,996,403,
Hume,442,333,
India,738,617,
JRL1,20,863.5,
JRL2,20,872.5,
JRL3,20,881.5,
Jalan,874,660,
Jelapang,525,186,
Johor Bahru-Singapore RTS-Link,20,964.079,
Joo,80,496,
Junction,160,490,
Jurong,112,448,
Jurong Hill,211,591,
Jurong Lake,314.053,597.949,
Jurong Pier,156,613,
Kadaloor,1259,245,
Kah Kee,529,446,
Kaki,1077,595,
Kallang,954,682,
Kang West,158,286,
Kangkar,1071,384,
Katong,1000,800,
Katong Park,1028,842,
Keat,345,239,
Kebun,491,470,
Kembangan,1092,633,
Kent,506.719,674,
Keppel,599,911,
Khatib,746,205,
King Albert,415,396,
Koon,76,508,
Kovan,961,441,
Kranji,335.5,80,
Kupang,1048,228,
Labrador,458,798,
Lakeside,178,508,
Laluan Circle (Lingkaran) (CCL),20,748.5,
Laluan Daerah Jurong (JRL),20,853.5,
Laluan Downtown (Pusat Bandar) (DTL),20,771.5,
Laluan Rentas Pulau (CRL),20,903.5,
Laluan Thomson – Pantai Timur (TEL),20,803.5,
Laluan Timur Barat (EWL),20,681,
Laluan Timur Laut (NEL),20,725.5,
Laluan Utara Selatan (NSL),20,693.5,
Lavender,875,693,
Lay,131,508,
Layar,974,277,
Lebar,1010,633,
Lentor,665,212,
Lim,1071,283,
Little,739,605,
Lorong,879,413,
Loyang,1361,594,
MacPherson,1001,594,
Maju,406,463,
Marina,745,972,
Marine,1067,748,
Marsiling,410,80,
Marymount,690,383,
Mattar,951.5,595,
Maxwell,694,827,
Mayflower,665,250,
Memorial,956,935,
Merah,1235,662,
Meridian,1154,275,
Mo Kio,742,329,
Mount,665,442,
"Mount Pleasant, Marina South",20,831.5,
Mountbatten,1008,700,
Nanyang,20,393,
Napier,617,520,
Newton,714,536,
Nibong,1063,181,
Nicoll,950,748,
North,1112,574,
Novena,748,504,
Oasis,1243,229,
Orchard,610,546,
Outram,605,782,
PETA SINGAPURA MRT / LRT,7.1,19,20
Pagar,660,869,
Pandan,284,564,
Panjang,442,770,
Parade,1065,760,
Park,810,603,
Pasir,458,758,
Pasir Ris,1289,522,
Pasir Ris East,1321,554,
Paya,1010,621,
Payoh,779,485,
Pending,525,272,
Peng Kang,8,323,
Pengasas,956,935,
Peringatan,956,923,
Petir,525,242,
Phoenix,407,221,
Pioneer,100,527,
Place,808,843,
Plantation,175,392,
Pleasant,665,454,
Potong Pasir,867,532,
Prince,717,934,
Promenade,886,797,
Punggol,1117,215,
Punggol Coast,1264,132,
Punggol Point,1145,131,
Quay,730,741,
Queenstown,561,672.5,
RTS-Link,20,974.079,
Raffles,808,831,
Ranggung,1045,354,
Redhill,554,721,
Renjong,1025,286,
Reservoir,1149,607,
Rhu,1000,891,
Ridge,507.129,686,
Riviera,1252,282,
Road,39,608,
Rochor,775,655,
Rumbia,1155,335,
SINGAPORE MRT/LRT MAP,7.1,19,20
Sam Kee,1166,177,
Samudera,1056,142,
Segar,569,207,
Sembawang,650,80,
Sengkang,1013,309,
Senja,525,215,
Serangoon,924,334,
Shenton,736,863,
Siglap,1147,758,
Simei,1209,617,
Sistem Rel Ringan (LRT),20,976.5,
Sistem Transit Aliran Johor–Singapura (RTS),20,989,
Sixth,503,407,
Somerset,709,634,
Soo,1131,182,
South,596,131,
South Pier,724,984,
Springleaf,632,163,
Stadium,1004,726,
Stesen Brickland,20,703.5,
Stesen Peringatan Pengasas,20,822.5,
Stesen Sungei Kadut,20,712.5,
Stevens,664,484,
Sumang,1075,198,
Sungei,1269,782,
Sungei Kadut,20,712.5,
TEL5,20,813.5,
TELe,20,840.5,
Tai Seng,989,556,
Taman,876,968,
Tampines,1184,562,
Tan,529,434,
Tanah,1235,650,
Tanjong,650,857,
Tavistock,856,313,
Tawas,33,434,
Teck,380,239,
Teck Ghee,696,293,
Teck Lee,1162,150,
Telok,504,834,
Tengah,132,332,
Tengah Park,192,413,
Terrace,1104,794,
Thanggam,970,226,
Thomson,604,366,
Tiong Bahru,623.488,753,
Toa,779,473,
Toh,253,462,
Tongkang,973,293,
Town Hall,321,544,
Tuas,41,566,
Tuas Link,15,620,
Tuas West,10,596,
Tukang,186,566,
Turf City,544,373,
Ubi,1036,575,
Upper,1292,643,
View,309,221,
Villa,490,725,
Village,504,568,
WCE1,20,890.5,
WCE2,20,890.5,
Way,746,875,
West,1196,574,
Whye,378,249,
Woodlands,596,119,
Woodlands North,450,29,
Woodleigh,893,509,
World,442,370,
Xilin,1292,731,
Yew Tee,292,175,
Yio,763,246,
Yishun,730,151,
by the Bay,876,980,
di Pesisiran,876,980,
north,441,645,
one-,444,635,
