svg_label,station_ids,display_label,x,y
Admiralty,NS10,Admiralty (NS10),586.0,80.0
Aljunied,EW9,Aljunied (EW9),945.0,638.0
Ang,"BP1,NS4","Ang (BP1, NS4)",758.0,317.0
Bakau,SE3,Bakau (SE3),1157.0,379.0
Bangkit,BP9,Bangkit (BP9),569.0,251.0
Bartley,CC12,Bartley (CC12),968.0,514.0
Bayfront,"CE1,DT16","Bayfront (CE1, DT16)",885.0,888.0
Bayshore,TE29,Bayshore (TE29),1178.0,782.0
Beauty World,DT5,Beauty World (DT5),436.0,358.0
Bedok,EW5,Bedok (EW5),1171.0,652.0
Bedok North,DT29,Bedok North (DT29),1110.0,562.0
Bedok South,EW5,Bedok South (EW5),1224.0,746.0
Bencoolen,DT21,Bencoolen (DT21),780.0,686.0
Bishan,"CC15,NS17","Bishan (CC15, NS17)",793.0,390.0
Blangah,CC28,Blangah (CC28),488.0,846.0
Boon Keng,NE9,Boon Keng (NE9),838.0,564.0
Boon Lay,EW27,Boon Lay (EW27),122.0,496.0
Boulevard Orchard,"NS22,TE14","Boulevard Orchard (NS22, TE14)",599.0,558.0
Braddell,NS18,Braddell (NS18),734.0,432.0
Bras Basah,CC2,Bras Basah (CC2),830.0,727.0
Bright,TE7,Bright (TE7),622.0,292.0
Buangkok,NE15,Buangkok (NE15),962.0,365.0
Bugis,"DT14,EW12","Bugis (DT14, EW12)",908.0,730.0
Bukit,"BP6,DT1","Bukit (BP6, DT1)",445.0,240.0
Bukit Batok,NS2,Bukit Batok (NS2),292.0,411.0
Bukit Batok West,NS2,Bukit Batok West (NS2),221.0,431.0
Bukit Gombak,NS3,Bukit Gombak (NS3),292.0,350.0
Buona Vista,"CC22,EW21","Buona Vista (CC22, EW21)",489.0,600.0
Caldecott,"CC17,TE9","Caldecott (CC17, TE9)",595.0,399.0
Canberra,NS12,Canberra (NS12),742.0,108.0
Canning,DT20,Canning (DT20),662.0,720.0
Changi Airport,CG2,Changi Airport (CG2),1310.0,687.0
Cheng Lim,SW1,Cheng Lim (SW1),1071.0,273.0
Chinatown,"DT19,NE4","Chinatown (DT19, NE4)",702.0,758.0
Chinese Garden,EW25,Chinese Garden (EW25),224.0,527.0
Choa,"BP1,NS4","Choa (BP1, NS4)",247.0,213.0
Chu Kang,"BP1,NS4","Chu Kang (BP1, NS4)",221.0,225.0
Chu Kang,"BP1,NS4","Chu Kang (BP1, NS4)",727.0,258.0
City Hall,"EW13,NS25","City Hall (EW13, NS25)",840.0,799.0
Clarke Quay,NE5,Clarke Quay (NE5),730.0,729.0
Clementi,EW23,Clementi (EW23),414.0,526.0
Commonwealth,EW20,Commonwealth (EW20),525.0,636.0
Compassvale,SE1,Compassvale (SE1),1096.0,315.0
Cove,PE1,Cove (PE1),1164.0,250.0
Dakota,CC8,Dakota (CC8),1011.0,674.0
Damai,PE7,Damai (PE7),1198.0,219.0
Dhoby Ghaut,"CC1,NE6,NS24","Dhoby Ghaut (CC1, NE6, NS24)",708.0,686.0
Dover,EW22,Dover (EW22),418.0,581.0
Downtown,DT17,Downtown (DT17),809.0,865.0
Esplanade Promenade,CC3,Esplanade Promenade (CC3),872.0,779.0
Eunos,EW7,Eunos (EW7),1050.0,652.0
Expo,"CG1,DT35","Expo (CG1, DT35)",1252.0,687.0
Farmway,SW2,Farmway (SW2),1065.0,246.0
Farrer Park,NE8,Farrer Park (NE8),810.0,591.0
Farrer Road,CC20,Farrer Road (CC20),522.0,520.0
Fernvale Thanggam,SW4,Fernvale Thanggam (SW4),961.0,246.0
Fort,DT20,Fort (DT20),685.0,708.0
Geylang Bahru,DT24,Geylang Bahru (DT24),882.0,582.0
Gul Circle,EW30,Gul Circle (EW30),15.0,546.0
HarbourFront,"CC29,NE1","HarbourFront (CC29, NE1)",495.0,875.0
Havelock,TE16,Havelock (TE16),603.0,697.0
Haw Par Villa,CC25,Haw Par Villa (CC25),490.0,713.0
Highway,CC5,Highway (CC5),934.0,760.0
Hill,DT3,Hill (DT3),51.0,335.0
Hill,DT3,Hill (DT3),637.0,304.0
Hillview,DT3,Hillview (DT3),433.0,301.0
Holland Village,CC21,Holland Village (CC21),504.0,556.0
Hougang,NE14,Hougang (NE14),996.0,403.0
Hume,DT4,Hume (DT4),442.0,333.0
Jalan Besar,DT22,Jalan Besar (DT22),874.0,660.0
Jelapang,BP12,Jelapang (BP12),525.0,186.0
Jurong East,"EW24,NS1","Jurong East (EW24, NS1)",292.0,495.0
Kadaloor,PE5,Kadaloor (PE5),1259.0,245.0
Kallang,EW10,Kallang (EW10),954.0,682.0
Kangkar,SE4,Kangkar (SE4),1071.0,384.0
Katong Park,TE24,Katong Park (TE24),1028.0,842.0
Kembangan,EW6,Kembangan (EW6),1092.0,633.0
Kent Ridge,CC24,Kent Ridge (CC24),506.719,674.0
Khatib,NS14,Khatib (NS14),746.0,205.0
King Albert,DT6,King Albert (DT6),415.0,396.0
Kovan,NE13,Kovan (NE13),961.0,441.0
Kranji,NS7,Kranji (NS7),335.5,80.0
Kupang,SW3,Kupang (SW3),1048.0,228.0
Labrador,CC27,Labrador (CC27),458.0,798.0
Lakeside,EW26,Lakeside (EW26),178.0,508.0
