svg_label,suggested_station_name,notes
(Johor Bahru) Bukit Chagar,,Manual mapping required
Airport T5 Changi,,Manual mapping required
Aviation,,Manual mapping required
Bahar Junction,,Manual mapping required
Bendeemer,,Manual mapping required
Brickland,,Manual mapping required
Brown Bukit,,Manual mapping required
Bukit Kaki,,Manual mapping required
Bunga Gardens Kebun Botanic,,Manual mapping required
CRL2 CRL3 CRL1e,,Manual mapping required
Cantonment,,Manual mapping required
Corporation,,Manual mapping required
Crescent Nanyang Nanyang,,Manual mapping required
DTL3e DTL2e Laluan Thomson – Pantai Timur (TEL),,Manual mapping required
Defu,,Manual mapping required
District,,Manual mapping required
Edward Prince Road,,Manual mapping required
Elias,,Manual mapping required
Enterprise,,Manual mapping required
Gateway,,Manual mapping required
Gek Poh,,Manual mapping required
Hong Kah,,Manual mapping required
Hong Keat,,Manual mapping required
India Little,,Manual mapping required
JRL2 JRL3 WCE1 WCE2,,Manual mapping required
Johor Bahru-Singapore RTS-Link RTS-Link Sistem Rel Ringan (LRT) Sistem Transit Aliran Johor–Singapura (RTS),,Manual mapping required
Jurong Hill,,Manual mapping required
Jurong Lake,,Manual mapping required
Jurong Pier,,Manual mapping required
Jurong Town Hall,,Manual mapping required
Jurong West,,Manual mapping required
Kang West Choa Chu,,Manual mapping required
Keppel,,Manual mapping required
Koon Joo,,Manual mapping required
Laluan Timur Barat (EWL) Laluan Utara Selatan (NSL) Stesen Brickland Brickland Station,,Manual mapping required
Loyang,,Manual mapping required
Maju,,Manual mapping required
Mount Pleasant,,Manual mapping required
Parade Marine,,Manual mapping required
Peng Kang,,Manual mapping required
Peringatan Founders' Pengasas Memorial,,Manual mapping required
Reservoir Pandan,,Manual mapping required
Stesen Sungei Kadut Sungei Kadut Station Laluan Timur Laut (NEL),,Manual mapping required
Sungei Kadut,,Manual mapping required
"TEL5 Stesen Peringatan Pengasas Founders' Memorial Station Mount Pleasant Station, Marina South Station",,Manual mapping required
TELe Laluan Daerah Jurong (JRL) JRL1,,Manual mapping required
Taman Gardens di Pesisiran by the Bay,,Manual mapping required
Tavistock,,Manual mapping required
Tawas,,Manual mapping required
Teck Ghee,,Manual mapping required
Tengah,,Manual mapping required
Tengah Park,,Manual mapping required
Tengah Plantation,,Manual mapping required
Terrace Marine,,Manual mapping required
Toh Guan,,Manual mapping required
Tukang,,Manual mapping required
Turf City,,Manual mapping required
West Coast,,Manual mapping required
Whye Teck,,Manual mapping required
World Great,,Manual mapping required
Xilin DE1,,Manual mapping required
north one-,,Manual mapping required
