connection_id,from_station_id,to_station_id,connection_type,travel_time_minutes,distance_meters,line_code
0001,BP1,BP2,train,1.37,506,BP
0002,BP2,BP1,train,1.37,506,BP
0003,BP2,BP3,train,1.28,455,BP
0004,BP3,BP2,train,1.28,455,BP
0005,BP3,BP4,train,1.45,556,BP
0006,BP4,BP3,train,1.45,556,BP
0007,BP4,BP5,train,1.41,530,BP
0008,BP5,BP4,train,1.41,530,BP
0009,BP5,BP6,train,1.29,460,BP
0010,BP6,BP5,train,1.29,460,BP
0011,BP6,BP7,train,1.36,503,BP
0012,BP7,BP6,train,1.36,503,BP
0013,BP7,BP8,train,1.43,543,BP
0014,BP8,BP7,train,1.43,543,BP
0015,BP8,BP9,train,1.28,457,BP
0016,BP9,BP8,train,1.28,457,BP
0017,BP9,BP10,train,1.43,540,BP
0018,BP10,BP9,train,1.43,540,BP
0019,BP10,BP11,train,1.16,384,BP
0020,BP11,BP10,train,1.16,384,BP
0021,BP11,BP12,train,1.49,577,BP
0022,BP12,BP11,train,1.49,577,BP
0023,BP12,BP13,train,1.36,504,BP
0024,BP13,BP12,train,1.36,504,BP
0025,CC1,CC2,train,1.28,649,CC
0026,CC2,CC1,train,1.28,649,CC
0027,CC2,CC3,train,1.37,726,CC
0028,CC3,CC2,train,1.37,726,CC
0029,CC3,CC4,train,1.06,469,CC
0030,CC4,CC3,train,1.06,469,CC
0031,CC4,CC5,train,1.4,746,CC
0032,CC5,CC4,train,1.4,746,CC
0033,CC5,CC6,train,2.15,1371,CC
0034,CC6,CC5,train,2.15,1371,CC
0035,CC6,CC7,train,1.55,871,CC
0036,CC7,CC6,train,1.55,871,CC
0037,CC7,CC8,train,1.33,691,CC
0038,CC8,CC7,train,1.33,691,CC
0039,CC8,CC9,train,1.89,1157,CC
0040,CC9,CC8,train,1.89,1157,CC
0041,CC9,CC10,train,1.7,995,CC
0042,CC10,CC9,train,1.7,995,CC
0043,CC10,CC11,train,1.62,930,CC
0044,CC11,CC10,train,1.62,930,CC
0045,CC11,CC12,train,1.94,1200,CC
0046,CC12,CC11,train,1.94,1200,CC
0047,CC12,CC13,train,1.83,1105,CC
0048,CC13,CC12,train,1.83,1105,CC
0049,CC13,CC14,train,1.9,1168,CC
0050,CC14,CC13,train,1.9,1168,CC
0051,CC14,CC15,train,2.52,1682,CC
0052,CC15,CC14,train,2.52,1682,CC
0053,CC15,CC16,train,1.76,1051,CC
0054,CC16,CC15,train,1.76,1051,CC
0055,CC16,CC17,train,1.96,1218,CC
0056,CC17,CC16,train,1.96,1218,CC
0057,CC19,CC20,train,1.75,1041,CC
0058,CC20,CC19,train,1.75,1041,CC
0059,CC20,CC21,train,2.27,1472,CC
0060,CC21,CC20,train,2.27,1472,CC
0061,CC21,CC22,train,1.43,777,CC
0062,CC22,CC21,train,1.43,777,CC
0063,CC22,CC23,train,1.62,934,CC
0064,CC23,CC22,train,1.62,934,CC
0065,CC23,CC24,train,1.42,768,CC
0066,CC24,CC23,train,1.42,768,CC
0067,CC24,CC25,train,1.96,1219,CC
0068,CC25,CC24,train,1.96,1219,CC
0069,CC25,CC26,train,2.07,1309,CC
0070,CC26,CC25,train,2.07,1309,CC
0071,CC26,CC27,train,2.08,1313,CC
0072,CC27,CC26,train,2.08,1313,CC
0073,CC27,CC28,train,1.47,810,CC
0074,CC28,CC27,train,1.47,810,CC
0075,CC28,CC29,train,2.31,1508,CC
0076,CC29,CC28,train,2.31,1508,CC
0077,CE1,CE2,train,1.69,988,CE
0078,CE2,CE1,train,1.69,988,CE
0079,CG,CG1,train,2.88,1980,CG
0080,CG1,CG,train,2.88,1980,CG
0081,CG1,CG2,train,5.05,3792,CG
0082,CG2,CG1,train,5.05,3792,CG
0083,DT1,DT2,train,1.69,994,DT
0084,DT2,DT1,train,1.69,994,DT
0085,DT2,DT3,train,1.52,851,DT
0086,DT3,DT2,train,1.52,851,DT
0087,DT3,DT4,train,1.62,932,DT
0088,DT4,DT3,train,1.62,932,DT
0089,DT4,DT5,train,2.41,1595,DT
0090,DT5,DT4,train,2.41,1595,DT
0091,DT5,DT6,train,1.86,1132,DT
0092,DT6,DT5,train,1.86,1132,DT
0093,DT6,DT7,train,2.37,1557,DT
0094,DT7,DT6,train,2.37,1557,DT
0095,DT7,DT8,train,2.05,1290,DT
0096,DT8,DT7,train,2.05,1290,DT
0097,DT8,DT9,train,1.65,954,DT
0098,DT9,DT8,train,1.65,954,DT
0099,DT9,DT10,train,1.83,1111,DT
0100,DT10,DT9,train,1.83,1111,DT
0101,DT10,DT11,train,2.53,1693,DT
0102,DT11,DT10,train,2.53,1693,DT
